,Opentime,Close,MA1,MA2
1111,1653572700000,0.08346,,
1112,1653573600000,0.08308,,
1113,1653574500000,0.08311,,
1114,1653575400000,0.08331,,
1115,1653576300000,0.08333,,
1116,1653577200000,0.08314,,
1117,1653578100000,0.08282,,
1118,1653579000000,0.08297,,
1119,1653579900000,0.08337,,
1120,1653580800000,0.08495,,
1121,1653581700000,0.08528,,
1122,1653582600000,0.08594,,
1123,1653583500000,0.08562,,
1124,1653584400000,0.08524,,
1125,1653585300000,0.08507,,
1126,1653586200000,0.08473,,
1127,1653587100000,0.08457,,
1128,1653588000000,0.08429,,
1129,1653588900000,0.08485,,
1130,1653589800000,0.0845,,
1131,1653590700000,0.0842,,
1132,1653591600000,0.0838,,
1133,1653592500000,0.08347,,
1134,1653593400000,0.08289,,
1135,1653594300000,0.08215,,
1136,1653595200000,0.08213,,
1137,1653596100000,0.08243,,
1138,1653597000000,0.08154,,
1139,1653597900000,0.08167,,
1140,1653598800000,0.08204,,
1141,1653599700000,0.08164,,
1142,1653600600000,0.08129,,
1143,1653601500000,0.08174,,
1144,1653602400000,0.08219,,
1145,1653603300000,0.08213,,
1146,1653604200000,0.08169,,
1147,1653605100000,0.08188,,
1148,1653606000000,0.08196,,
1149,1653606900000,0.08285,,
1150,1653607800000,0.08249,,
1151,1653608700000,0.08223,,
1152,1653609600000,0.08192,,
1153,1653610500000,0.08224,,
1154,1653611400000,0.08162,,
1155,1653612300000,0.08196,,
1156,1653613200000,0.08125,,
1157,1653614100000,0.08033,,
1158,1653615000000,0.07997,,
1159,1653615900000,0.07969,,
1160,1653616800000,0.07845,,
1161,1653617700000,0.07948,,
1162,1653618600000,0.07986,,
1163,1653619500000,0.07991,,
1164,1653620400000,0.07998,,
1165,1653621300000,0.08031,,
1166,1653622200000,0.08021,,
1167,1653623100000,0.08011,,
1168,1653624000000,0.08029,,
1169,1653624900000,0.08072,,
1170,1653625800000,0.07936,,
1171,1653626700000,0.07931,,
1172,1653627600000,0.0796,,
1173,1653628500000,0.07939,,
1174,1653629400000,0.07877,,
1175,1653630300000,0.07925,,
1176,1653631200000,0.07957,,
1177,1653632100000,0.07993,,
1178,1653633000000,0.07989,,
1179,1653633900000,0.08012,,
1180,1653634800000,0.0808,,
1181,1653635700000,0.08142,,
1182,1653636600000,0.08141,,
1183,1653637500000,0.08084,,
1184,1653638400000,0.08146,,
1185,1653639300000,0.08152,,
1186,1653640200000,0.08155,,
1187,1653641100000,0.08087,,
1188,1653642000000,0.08085,,
1189,1653642900000,0.08117,,
1190,1653643800000,0.08123,,
1191,1653644700000,0.08169,,
1192,1653645600000,0.08196,,
1193,1653646500000,0.08176,,
1194,1653647400000,0.08197,,
1195,1653648300000,0.0813,,
1196,1653649200000,0.08185,,
1197,1653650100000,0.08225,,
1198,1653651000000,0.08301,,
1199,1653651900000,0.08256,,
1200,1653652800000,0.08242,,
1201,1653653700000,0.08269,,
1202,1653654600000,0.08364,,
1203,1653655500000,0.08296,,
1204,1653656400000,0.0826,,
1205,1653657300000,0.08189,,
1206,1653658200000,0.08199,,
1207,1653659100000,0.08266,,
1208,1653660000000,0.08209,,
1209,1653660900000,0.0812,,
1210,1653661800000,0.08023,,
1211,1653662700000,0.08056,,
1212,1653663600000,0.08068,,
1213,1653664500000,0.08097,,
1214,1653665400000,0.08096,,
1215,1653666300000,0.08075,,
1216,1653667200000,0.08087,,
1217,1653668100000,0.08013,,
1218,1653669000000,0.08002,,
1219,1653669900000,0.08008,,
1220,1653670800000,0.07997,,
1221,1653671700000,0.07961,,
1222,1653672600000,0.07932,,
1223,1653673500000,0.07938,,
1224,1653674400000,0.07925,,
1225,1653675300000,0.07927,,
1226,1653676200000,0.07889,,
1227,1653677100000,0.07918,,
1228,1653678000000,0.07895,,
1229,1653678900000,0.07873,,
1230,1653679800000,0.07883,,
1231,1653680700000,0.07958,,
1232,1653681600000,0.0794,,
1233,1653682500000,0.07919,,
1234,1653683400000,0.07953,,
1235,1653684300000,0.07915,,
1236,1653685200000,0.07915,,
1237,1653686100000,0.07925,,
1238,1653687000000,0.07952,,
1239,1653687900000,0.07913,,
1240,1653688800000,0.07991,,
1241,1653689700000,0.08052,,
1242,1653690600000,0.08053,,
1243,1653691500000,0.08039,,
1244,1653692400000,0.08046,,
1245,1653693300000,0.08032,,
1246,1653694200000,0.0803,,
1247,1653695100000,0.08083,,
1248,1653696000000,0.08033,,
1249,1653696900000,0.08035,,
1250,1653697800000,0.0806,,
1251,1653698700000,0.0807,,
1252,1653699600000,0.08065,,
1253,1653700500000,0.08016,,
1254,1653701400000,0.07979,,
1255,1653702300000,0.07972,,
1256,1653703200000,0.07972,,
1257,1653704100000,0.0801,,
1258,1653705000000,0.07902,,
1259,1653705900000,0.07936,,
1260,1653706800000,0.07962,,
1261,1653707700000,0.07964,,
1262,1653708600000,0.08004,,
1263,1653709500000,0.08015,,
1264,1653710400000,0.08028,,
1265,1653711300000,0.08017,,
1266,1653712200000,0.07998,,
1267,1653713100000,0.08031,,
1268,1653714000000,0.08031,,
1269,1653714900000,0.08037,,
1270,1653715800000,0.08011,,
1271,1653716700000,0.08003,,
1272,1653717600000,0.08019,,
1273,1653718500000,0.08004,,
1274,1653719400000,0.08033,,
1275,1653720300000,0.08008,,
1276,1653721200000,0.07978,,
1277,1653722100000,0.07959,,
1278,1653723000000,0.07981,,
1279,1653723900000,0.07995,,
1280,1653724800000,0.07999,,
1281,1653725700000,0.07974,,
1282,1653726600000,0.07998,,
1283,1653727500000,0.07967,,
1284,1653728400000,0.07971,,
1285,1653729300000,0.07938,,
1286,1653730200000,0.07968,,
1287,1653731100000,0.07973,,
1288,1653732000000,0.07958,,
1289,1653732900000,0.08142,,
1290,1653733800000,0.0821,,
1291,1653734700000,0.08194,,
1292,1653735600000,0.08218,,
1293,1653736500000,0.08223,,
1294,1653737400000,0.08202,,
1295,1653738300000,0.08223,,
1296,1653739200000,0.08181,,
1297,1653740100000,0.08188,,
1298,1653741000000,0.08161,,
1299,1653741900000,0.0818,,
1300,1653742800000,0.08191,,
1301,1653743700000,0.0821,,
1302,1653744600000,0.08189,,
1303,1653745500000,0.08192,,
1304,1653746400000,0.08182,,
1305,1653747300000,0.08189,,
1306,1653748200000,0.08209,,
1307,1653749100000,0.08213,,
1308,1653750000000,0.08219,,
1309,1653750900000,0.08228,,
1310,1653751800000,0.08217,,
1311,1653752700000,0.08233,,
1312,1653753600000,0.08222,,
1313,1653754500000,0.08197,,
1314,1653755400000,0.08197,,
1315,1653756300000,0.08195,,
1316,1653757200000,0.08189,,
1317,1653758100000,0.08203,,
1318,1653759000000,0.08193,,
1319,1653759900000,0.08164,,
1320,1653760800000,0.08187,,
1321,1653761700000,0.08201,,
1322,1653762600000,0.08213,,
1323,1653763500000,0.08228,,
1324,1653764400000,0.08207,,
1325,1653765300000,0.08206,,
1326,1653766200000,0.08198,,
1327,1653767100000,0.0822,,
1328,1653768000000,0.0819,,
1329,1653768900000,0.08181,,
1330,1653769800000,0.08185,,
1331,1653770700000,0.08195,,
1332,1653771600000,0.08166,,
1333,1653772500000,0.08159,,
1334,1653773400000,0.08095,,
1335,1653774300000,0.08107,,
1336,1653775200000,0.08102,,
1337,1653776100000,0.08094,,
1338,1653777000000,0.08079,,
1339,1653777900000,0.08073,,
1340,1653778800000,0.08125,,
1341,1653779700000,0.08133,,
1342,1653780600000,0.08157,,
1343,1653781500000,0.08118,,
1344,1653782400000,0.08121,,
1345,1653783300000,0.08104,,
1346,1653784200000,0.08098,,
1347,1653785100000,0.08111,,
1348,1653786000000,0.08076,,
1349,1653786900000,0.08075,,
1350,1653787800000,0.08087,,
1351,1653788700000,0.08051,,
1352,1653789600000,0.08024,,
1353,1653790500000,0.08029,,
1354,1653791400000,0.08039,,
1355,1653792300000,0.08038,,
1356,1653793200000,0.08036,,
1357,1653794100000,0.08006,,
1358,1653795000000,0.08008,,
1359,1653795900000,0.08039,,
1360,1653796800000,0.08034,,
1361,1653797700000,0.08066,,
1362,1653798600000,0.08091,,
1363,1653799500000,0.08052,,
1364,1653800400000,0.08054,,
1365,1653801300000,0.0809,,
1366,1653802200000,0.08087,,
1367,1653803100000,0.08097,,
1368,1653804000000,0.08103,,
1369,1653804900000,0.08112,,
1370,1653805800000,0.08109,,
1371,1653806700000,0.08111,,
1372,1653807600000,0.08091,,
1373,1653808500000,0.08093,,
1374,1653809400000,0.0808,,
1375,1653810300000,0.08077,,
1376,1653811200000,0.08059,,
1377,1653812100000,0.08096,,
1378,1653813000000,0.08097,,
1379,1653813900000,0.08072,,
1380,1653814800000,0.08048,,
1381,1653815700000,0.08023,,
1382,1653816600000,0.08015,,
1383,1653817500000,0.07996,,
1384,1653818400000,0.08069,,
1385,1653819300000,0.08066,,
1386,1653820200000,0.08071,,
